Model,AUPRC,AUROC,Precision,Recall,F1
Pure Autoencoder,0.4917238759157411,0.8205473684210526,0.6888888888888889,0.41333333333333333,0.5166666666661979
Pure XGBoost,0.643003436653508,0.8901239766081872,0.8478260869565217,0.52,0.6446280991730824
Hybrid (XGB + AE error),0.6483618606852001,0.8859602339181287,0.9069767441860465,0.52,0.6610169491520792
